ClassCode,ClassLabel,ConceptNet,Count
1,Android Appstore,app,2735
2,Appliances,appliance,5985
3,Arts Crafts Sewing,art,3997
4,Automotive,automotive,3794
5,Baby,baby,4726
6,Bag,bag,5270
7,Beauty,beauty,3818
8,Bike,bike,5146
9,Books,book,5922
10,Cable,cable,3903
11,Care,care,4604
12,Clothing,clothing,4599
13,Conditioner,conditioner,4791
14,Diaper,diaper,5305
15,Dining,dining,6014
16,Dumbbell,dumbbell,5671
17,Flashlight,flashlight,5626
18,Food,food,3896
19,Gloves,glove,4233
20,Golf,golf,4853
21,Home Improvement,home,5233
22,Industrial Scientific,supplies,4293
23,Jewelry,jewelry,3603
24,Kindle Store,kindle,4708
25,Kitchen,kitchen,5736
26,Knife,knife,5574
27,Luggage,luggage,4841
28,Magazine Subscriptions,magazine,4747
29,Mat,mat,4213
30,Mattress,mattress,5169
31,Movies TV,movies,6712
32,Music,music,6257
33,Musical Instruments,instrument,5240
34,Office Products,office,4870
35,Patio Lawn Garden,garden,5384
36,Pet Supplies,pet,4371
37,Pillow,pillow,4761
38,Sandal,sandal,4429
39,Scooter,scooter,4623
40,Shoes,shoes,4057
41,Software,software,7957
42,Sports,sports,5227
43,Table Chair,table,5129
44,Tent,tent,6409
45,Tire,tire,4438
46,Toys,toy,4941
47,Video Games,videogame,8455
48,Vitamin Supplement,vitamin,7043
49,Wall Clock,clock,4292
50,Water Filter,filter,5145
